TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Displacement_Score,MA_Uncertainty_pct,MA_Reference,FS,SS,HS,uHS,HF_Score,HF_Uncertainty_pct,HS_Reference,DV_new,uDV,DV_Best_Estimate_old,uDV_old
6664,Terns,Black Tern,BLTE,Chlidonias niger,0.486,0.280,0.700,4,0.333,0.420,0.500,0.418,5,0.500,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.900,0.783,0.458,3,0.250,"eBird 2021, Heath et al. 2020",0.381,0.104,8,0.125
6686,Terns,Common Tern,COTE,Sterna hirundo,0.486,0.280,0.700,4,0.333,0.420,0.500,0.418,5,0.500,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.518,0.592,0.458,3,0.100,"Leirness et al. 2021, Arnold et al. 2020",0.288,0.104,8,0.050
6672,Terns,Arctic Tern,ARTE,Sterna paradisaea,0.486,0.280,0.700,4,0.333,0.420,0.500,0.418,5,0.500,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.518,0.592,0.458,3,0.100,"Hatch et al. 2020a, Leirness et al. 2021",0.288,0.104,8,0.050
6670,Terns,Forsters Tern,FOTE,Sterna forsteri,0.486,0.280,0.700,4,0.333,0.420,0.500,0.418,5,0.500,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.900,0.783,0.583,3,0.500,"eBird 2021, Mcnicholl et al. 2020",0.381,0.209,8,0.250
6725,Terns,Royal Tern,ROTE,Thalasseus maximus,0.486,0.280,0.700,4,0.333,0.420,0.500,0.418,5,0.500,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.598,0.632,0.458,3,0.500,"Buckely et al. 2021, Leirness et al. 2021",0.308,0.104,8,0.250
6718,Terns,Elegant Tern,ELTE,Thalasseus elegans,0.486,0.280,0.700,4,0.333,0.420,0.500,0.418,5,0.500,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.598,0.632,0.458,4,0.500,"Burness et al. 2020, Leirness et al. 2021",0.308,0.104,9,0.250
6567,Terns,Black Skimmer,BLSK,Rynchops niger,0.680,0.180,0.720,7,0.000,0.540,0.500,0.347,5,0.500,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Vanermen et al. 2016, Vanermen et al. 2017, Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2022",0.833,0.900,0.867,0.583,4,0.500,"eBird 2021, Gochfeld et al. 2020",0.589,0.173,9,0.250
6895,Storm-Petrels,Townsends Storm-Petrel,TOSP,Hydrobates socorroensis,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,NA,NA,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1.000,0.900,0.950,0.583,NA,NA,"eBird 2021, Kirwan et al. 2023",0.371,0.231,NA,0.000
7168,Boobies,Red-footed Booby,RFBO,Sula sula,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,NA,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.667,0.900,0.783,0.583,NA,NA,"eBird 2021, Schreiber et al. 2020",0.678,0.180,NA,0.000
7177,Boobies,Masked Booby,MABO,Sula dactylatra,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,NA,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.900,0.867,0.583,NA,NA,"eBird 2021, Grace et al. 2020",0.750,0.180,NA,0.000
7183,Boobies,Nazca Booby,NABO,Sula granti,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,NA,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.900,0.867,0.583,NA,NA,"Cuccaro Diaz et al. 2020, eBird 2021",0.750,0.180,NA,0.000
7186,Boobies,Blue-footed Booby,BFBO,Sula nebouxii,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,NA,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.900,0.867,0.583,NA,NA,"eBird 2021, Hernandez Diaz and Salazar Gomez 2020",0.750,0.180,NA,0.000
7172,Boobies,Brown Booby,BRBO,Sula leucogaster,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,NA,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.900,0.867,0.583,NA,NA,"eBird 2021, Schreiber and Norton 2020",0.750,0.180,NA,0.000
6756,Tropicbirds,Red-billed Tropicbird,RBTR,Phaethon aethereus,0.235,0.180,0.290,1,0.833,0.110,0.250,0.398,NA,NA,Robinson Willmott et al. 2013,0.667,0.900,0.783,0.583,NA,NA,"eBird 2021, Orta et al. 2020",0.184,0.199,NA,0.000
